utility_a,utility_b,n_samples,seed,a_team,bidder,decl_id,bid_value,team_a_pts,team_b_pts,margin,n_decisions_a,n_decisions_b
ev,p_make,10,2489078847,0,3,0,30,8,34,-26,14,14
ev,p_make,10,2108472216,0,3,8,30,29,13,16,14,14
ev,p_make,10,3776010346,0,3,0,30,6,36,-30,14,14
ev,p_make,10,1247920067,0,1,1,30,29,13,16,14,14
ev,p_make,10,867313436,0,1,3,30,9,33,-24,14,14
ev,p_make,10,2534851566,0,0,4,30,26,16,10,14,14
ev,p_make,10,2154244935,0,1,1,30,24,18,6,14,14
ev,p_make,10,1674299417,0,2,7,30,25,17,8,14,14
ev,p_make,10,1293692786,0,3,3,30,34,8,26,14,14
ev,p_make,10,2961230916,0,1,8,30,11,31,-20,14,14
ev,p_make,10,2580624285,0,0,0,30,25,17,8,14,14
ev,p_make,10,2200017654,0,0,0,30,42,0,42,14,14
