game_idx,a_team,n_hands,marks_a,marks_b,a_won
133,1,12,7,5,1
134,1,12,7,5,1
135,1,11,7,4,1
136,1,11,7,4,1
137,1,12,5,7,0
138,1,11,7,4,1
139,1,13,6,7,0
140,1,13,6,7,0
141,1,9,7,2,1
142,1,11,4,7,0
143,1,11,4,7,0
144,1,12,7,5,1
145,1,12,7,5,1
146,1,9,7,2,1
147,1,13,6,7,0
148,1,13,7,6,1
149,1,13,7,6,1
150,1,12,5,7,0
151,1,12,5,7,0
152,1,13,6,7,0
153,1,13,7,6,1
154,1,9,7,2,1
155,1,11,7,4,1
156,1,13,6,7,0
157,1,9,7,2,1
158,1,13,7,6,1
159,1,12,7,5,1
160,1,11,7,4,1
161,1,12,7,5,1
162,1,8,7,1,1
163,1,10,7,3,1
164,1,12,5,7,0
165,1,13,6,7,0
166,1,12,7,5,1
167,1,12,7,5,1
168,1,10,7,3,1
169,1,13,6,7,0
170,1,11,4,7,0
171,1,10,7,3,1
172,1,11,7,4,1
173,1,9,7,2,1
174,1,12,7,5,1
175,1,8,7,1,1
176,1,9,7,2,1
177,1,10,7,3,1
178,1,11,4,7,0
179,1,10,7,3,1
180,1,12,5,7,0
181,1,12,5,7,0
182,1,12,7,5,1
183,1,8,7,1,1
184,1,13,6,7,0
185,1,13,7,6,1
186,1,12,5,7,0
187,1,13,7,6,1
188,1,13,6,7,0
189,1,11,7,4,1
190,1,10,7,3,1
191,1,10,7,3,1
192,1,13,7,6,1
193,1,12,7,5,1
194,1,13,6,7,0
195,1,13,6,7,0
196,1,9,2,7,0
197,1,11,7,4,1
198,1,10,7,3,1
199,1,9,2,7,0
200,1,13,7,6,1
201,1,8,7,1,1
202,1,8,7,1,1
203,1,11,7,4,1
204,1,11,7,4,1
205,1,10,3,7,0
206,1,11,7,4,1
207,1,8,1,7,0
208,1,12,7,5,1
209,1,13,6,7,0
210,1,11,7,4,1
211,1,13,7,6,1
212,1,11,4,7,0
213,1,10,3,7,0
214,1,9,7,2,1
215,1,13,6,7,0
216,1,9,7,2,1
217,1,12,5,7,0
218,1,11,7,4,1
219,1,12,7,5,1
220,1,13,7,6,1
221,1,13,7,6,1
222,1,11,4,7,0
223,1,8,1,7,0
224,1,11,7,4,1
225,1,13,7,6,1
226,1,12,5,7,0
227,1,11,4,7,0
228,1,11,4,7,0
229,1,13,6,7,0
230,1,12,5,7,0
231,1,12,5,7,0
232,1,10,7,3,1
233,1,13,7,6,1
234,1,13,6,7,0
235,1,11,4,7,0
236,1,10,7,3,1
237,1,13,7,6,1
238,1,8,1,7,0
239,1,13,7,6,1
240,1,9,7,2,1
241,1,13,7,6,1
242,1,11,4,7,0
243,1,12,5,7,0
244,1,12,7,5,1
245,1,11,4,7,0
246,1,10,3,7,0
247,1,12,5,7,0
248,1,10,3,7,0
249,1,13,6,7,0
250,1,10,3,7,0
251,1,11,4,7,0
252,1,10,3,7,0
253,1,12,5,7,0
254,1,9,2,7,0
255,1,12,7,5,1
