group_type,group,action_n,actual_action_rate,top_mean_rate,top_threshold_rate,safest_tail_rate,scalar_omission_rate,hidden_large_impact_rate,mean,std,threshold_mass,lower_tail_mass,mean_gap_to_best,threshold_gap_to_best,lower_tail_gap_to_safest,top_hidden_impact_score,max_hidden_impact_score,top_hidden_downside_score,max_hidden_downside_score,top_hidden_upside_score,max_hidden_upside_score
strategy_context,bidder_opening_lead,70000,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13974285714285714,0.9976142857142857,-3.5896396503359163,22.870240305038863,0.2505089885242782,0.3443679546892046,6.309369922810196,0.07544265902316796,0.10277870162976906,22.88450901722908,58.450965881347656,12.84427709266969,34.26103210449219,21.56133132064002,55.78042984008789
strategy_context,called_suit_pressure,145235,0.4337797362894619,0.42023616896753535,0.4218129238819844,0.3813405859469136,0.22758976830653768,0.8340276104244845,5.57619946926661,15.926543676083181,0.5631725428706542,0.20439256029480396,3.300799590394474,0.04514687370662181,0.04586909436822616,17.27111916196338,73.46269989013672,10.597014957254835,62.97010803222656,16.09084788799572,69.35895538330078
strategy_context,defender_last_to_act_closure,24674,0.4052849152954527,0.4052849152954527,0.4052849152954527,0.4052849152954527,0.199197535867715,0.950271540893248,-5.725595248204478,17.694677725562787,0.5952935350007762,0.3919428422064995,5.36457416588607,0.07032779518675826,0.06884323340084712,17.82393701861654,46.099674224853516,10.2788344872165,36.9881706237793,16.73629125687116,43.788421630859375
strategy_context,doubles_trump_regime,75330,0.3716978627372893,0.3716978627372893,0.3716978627372893,0.3716978627372893,0.17708748174697994,0.8653258993760786,-2.3855393223103003,15.052716712947765,0.4444649561066007,0.27303713437002836,2.78911237147962,0.04357712436282656,0.0402929788997439,17.696268721450192,71.28873443603516,10.970626358001768,64.36417388916016,16.351877398071835,66.83404541015625
strategy_context,first_setter_response,24798,0.40325832728445843,0.40325832728445843,0.40325832728445843,0.40325832728445843,0.23667231228324864,0.9895959351560609,-6.75993996373452,21.690421026960497,0.5863153433112455,0.40123921136900736,4.7713086594322345,0.06600452257445798,0.06471492745257855,21.015704565989854,55.694095611572266,13.94774286627183,44.87071990966797,19.346351327434817,52.84201431274414
strategy_context,first_trick,144113,0.2775599703010832,0.2775599703010832,0.2775599703010832,0.2775599703010832,0.17947027679668037,0.9836517177492662,-3.112699120130698,21.265921062665036,0.38834301800085025,0.3471711625976234,5.342623443841547,0.0683716772429821,0.07920679911416709,21.048194453910718,58.450965881347656,12.396759128004012,46.28881072998047,19.73088010164458,55.78042984008789
strategy_context,last_to_act,155132,0.4512286311012557,0.4512286311012557,0.4512286311012557,0.4512286311012557,0.1735360853982415,0.7716718665394632,-6.732987892797636,12.398620475826402,0.4347502890680413,0.3524204959287214,3.4323262145552293,0.04955390996939141,0.048466006769193486,14.335519452639653,71.820068359375,8.868289453708845,59.85443878173828,13.072234098782172,67.3653793334961
strategy_context,late_hand,208636,0.5751644011579976,0.5751644011579976,0.5751644011579976,0.5751644011579976,0.18267221380778007,0.5907082190992925,-1.2312957208813835,8.23107452668575,0.4687911827215737,0.18844127249727713,1.7539203993846442,0.028383934065470125,0.02603009856844965,11.352807654125314,81.80814361572266,7.58244807441201,72.5683364868164,9.937703568058744,77.07115173339844
strategy_context,no_trump_regime,74085,0.3779442532226497,0.3779442532226497,0.3779442532226497,0.3779442532226497,0.17686441249915638,0.8541945063103192,-3.2085973219990143,15.966467447628167,0.43096098165276303,0.3221628775673894,4.874437297684637,0.06669209301305655,0.0815135100981548,19.305197640995818,81.21697998046875,11.309055634140726,66.6924057006836,17.727545398078508,77.07115173339844
strategy_context,partner_count_donation,30446,0.41463574853839585,0.4227156276686593,0.4123694409774683,0.4026801550285752,0.19831833409971752,0.833442816790383,-0.156818327993149,14.397759446349676,0.28147885337136463,0.28939251476262673,4.324881224656792,0.06779578470913081,0.06252024556491059,16.266962863672518,82.86575317382812,10.356484722345822,59.45310592651367,14.86556923460402,78.87616729736328
strategy_context,partner_third_seat_support,24641,0.4058276855647092,0.4058276855647092,0.4058276855647092,0.4058276855647092,0.21500750781218295,0.9714297309362445,4.529065200235575,19.85720230201791,0.373439697675242,0.2558903159390918,3.149270835597168,0.04870797539290771,0.03720553608841288,19.092875788549115,51.3162956237793,11.685348078072117,46.28881072998047,17.916523718750714,48.6287956237793
strategy_context,setter_count_pressure,64203,0.38956123545628707,0.3836736601093407,0.3709951248384032,0.3687055122034796,0.16038191361774373,0.8333099699390994,-3.256509492719795,14.56311589319919,0.6485936968782445,0.3316404319507361,4.951853821202511,0.0766687834772601,0.07445010587053329,16.624525281657895,73.23207092285156,10.859345201386336,63.15927505493164,15.040483352631695,68.9779052734375
strategy_context,setter_lead_pressure,93909,0.30210097008806397,0.30210097008806397,0.30210097008806397,0.30210097008806397,0.1881395819357037,0.8510046960355238,0.28986507726170124,15.942368879395294,0.737300390188983,0.24699211872750376,4.299486867065426,0.0706387149869257,0.06788465407548953,17.938161262446698,73.23207092285156,10.879666224389855,60.074668884277344,16.629968260637035,68.9779052734375
team,defense,347469,0.4029136412169143,0.4029136412169143,0.4029136412169143,0.4029136412169143,0.18563958223611315,0.8336196898140553,-2.4745791244116573,14.998249486899027,0.6869206603384456,0.29390742893732197,3.511286189127665,0.05215117896837827,0.05028720797934641,16.70669388230428,76.98865509033203,10.68847035048834,72.5683364868164,15.23646394383246,71.13777923583984
