driver_kind,decl_id,decl_name,seat_role,holder_role,hidden_domino,action_n,mean_score,max_score,mean_q_delta,tail_low_mass_delta,shelf_high_mass_delta,conditioned_mass
downside,2,twos,right_setter,bidder_partner,6-6,421,8.792887837473401,29.732751846313477,-7.131884318915795,0.10903330869933163,-0.11411013389382325,0.28890720082569843
downside,5,fives,left_setter,bidder_partner,6-6,470,8.787973903975589,30.368494033813477,-6.8894469560460845,0.12610426024104063,-0.12749065770074092,0.3634482459473155
downside,6,sixes,left_setter,bidder,6-0,92,8.785088922666466,25.09978485107422,-7.567473520403323,0.0778926021521329,-0.08762553617682146,0.3571504917184264
downside,6,sixes,bidder_partner,bidder,4-3,150,8.783363204797109,29.887771606445312,-7.173630243142446,0.12093536223731159,-0.08007253782978903,0.3137770238095239
downside,1,ones,right_setter,left_setter,4-2,125,8.782867107391358,26.482284545898438,-7.381620712280274,0.09175061077345163,-0.09674806332588196,0.3130723095238096
downside,7,doubles,right_setter,bidder_partner,6-5,982,8.764142775365631,28.725210189819336,-7.418572685019305,0.08937397979668393,-0.09033225558416268,0.30414939445737527
downside,0,blanks,right_setter,left_setter,6-2,245,8.761578486890208,23.492528915405273,-7.1257198499173535,0.10674708383561739,-0.11365244604495107,0.3296009961127312
downside,8,doubles-suit,left_setter,right_setter,1-1,59,8.759483468734611,36.51948165893555,-7.428058448484388,0.08735761995293137,-0.09102950687125577,0.3199484967715901
downside,0,blanks,bidder_partner,bidder,6-3,295,8.753064764556239,26.875829696655273,-7.237842787726451,0.10042737707252992,-0.1017897814739164,0.3154089891041166
downside,3,threes,bidder,right_setter,6-6,424,8.750274039945513,32.24303436279297,-7.196314292696287,0.09891405203138073,-0.11295932401144626,0.27480589482255197
downside,8,doubles-suit,bidder,bidder_partner,3-2,164,8.738290481451081,34.254302978515625,-7.460998090302072,0.060324736075793826,-0.13480900025574444,0.284671276132404
downside,3,threes,bidder_partner,right_setter,6-4,167,8.736496689790737,29.02669334411621,-7.173095357632208,0.1029468404178293,-0.1053288856672519,0.39445860956658124
downside,3,threes,bidder,right_setter,6-5,60,8.732567338148753,31.81923484802246,-7.249639630317688,0.07553254240435005,-0.14551471561814347,0.3284503472222221
downside,1,ones,bidder_partner,bidder,3-0,195,8.73202336262434,30.827056884765625,-7.389466041173691,0.08188540249979362,-0.1047340670409493,0.2936737332112333
