base_seed,decl_id,V_mean,V_std,V_spread,p_capture_3-2,p_capture_4-1,p_capture_5-0,p_capture_5-5,p_capture_6-4
43,3,7.333333333333333,23.79542439676633,58.0,0.30952380952380953,0.24285714285714288,0.5166666666666667,0.5873015873015873,0.08253968253968254
44,4,31.333333333333332,15.084944665313014,32.0,0.025396825396825404,0.8730158730158729,0.8730158730158729,0.3,0.8730158730158729
45,5,8.666666666666666,25.525586292102197,62.0,0.18571428571428572,0.07936507936507937,0.07936507936507937,0.3,0.24285714285714288
46,6,8.666666666666666,5.2493385826745405,12.0,0.6031746031746031,0.4023809523809524,0.24761904761904763,0.24285714285714288,0.2714285714285714
47,7,25.333333333333332,20.741798914805393,44.0,0.30317460317460315,0.6015873015873016,0.03968253968253969,0.30317460317460315,0.03968253968253969
48,8,8.0,12.96148139681572,30.0,0.4666666666666666,0.5952380952380952,0.08095238095238096,0.5952380952380952,0.29523809523809524
49,9,26.666666666666668,21.684607956387456,46.0,0.5023809523809524,0.3,0.8174603174603176,0.3,0.3
50,0,30.0,15.57776192739723,34.0,0.2523809523809524,0.538095238095238,0.30317460317460315,0.30317460317460315,0.8571428571428571
51,1,17.333333333333332,17.15290710702481,42.0,0.4166666666666667,0.3063492063492063,0.05873015873015874,0.22380952380952382,0.7063492063492063
52,2,32.666666666666664,13.199326582148887,28.0,0.5666666666666667,0.022222222222222227,0.022222222222222227,0.8888888888888887,0.3
53,3,6.666666666666667,23.79542439676633,54.0,0.5793650793650793,0.488095238095238,0.21904761904761905,0.21904761904761905,0.08412698412698413
54,4,-20.0,5.656854249492381,12.0,0.20952380952380953,0.2619047619047619,0.14761904761904762,0.19523809523809527,0.14761904761904762
55,5,32.666666666666664,10.498677165349081,24.0,0.2761904761904762,0.5666666666666667,0.022222222222222227,0.8888888888888887,0.3
56,6,-7.333333333333333,26.144895401503437,64.0,0.4126984126984127,0.11746031746031747,0.21904761904761905,0.21904761904761905,0.29047619047619044
57,7,29.333333333333332,16.519348924485154,36.0,0.530952380952381,0.3,0.530952380952381,0.8492063492063492,0.030158730158730163
58,8,-10.0,18.83259585576738,44.0,0.16666666666666669,0.20238095238095238,0.38095238095238093,0.35952380952380947,0.2714285714285714
59,9,32.666666666666664,6.79869268479038,16.0,0.5666666666666667,0.022222222222222227,0.022222222222222227,0.29523809523809524,0.022222222222222227
60,0,18.0,15.57776192739723,34.0,0.05714285714285714,0.7142857142857143,0.538095238095238,0.30317460317460315,0.7142857142857143
61,1,14.666666666666666,28.110891523077353,66.0,0.37380952380952376,0.3,0.06507936507936508,0.29523809523809524,0.6746031746031745
62,2,34.0,5.656854249492381,12.0,0.9,0.01904761904761905,0.01904761904761905,0.9,0.01904761904761905
63,3,11.333333333333334,23.79542439676633,58.0,0.2523809523809524,0.07301587301587302,0.07301587301587302,0.634920634920635,0.07301587301587302
64,4,-28.0,1.632993161855452,4.0,0.1738095238095238,0.16666666666666666,0.16666666666666669,0.1619047619047619,0.16666666666666669
65,5,37.333333333333336,6.599663291074444,14.0,0.3,0.011111111111111106,0.011111111111111106,0.9,0.9
66,6,2.6666666666666665,14.079141387961918,34.0,0.37380952380952376,0.2761904761904762,0.3309523809523809,0.19523809523809527,0.5317460317460317
67,7,23.333333333333332,10.370899457402697,22.0,0.5595238095238094,0.7777777777777777,0.04444444444444445,0.3063492063492063,0.04444444444444445
68,8,9.333333333333334,9.568466729604882,22.0,0.4023809523809524,0.6111111111111112,0.26666666666666666,0.26666666666666666,0.6111111111111112
69,9,40.0,1.632993161855452,4.0,0.6023809523809524,0.004761904761904762,0.004761904761904762,0.9,0.9
70,0,-4.666666666666667,15.084944665313014,32.0,0.29523809523809524,0.4444444444444445,0.11111111111111112,0.4444444444444445,0.11111111111111112
