base_seed,decl_id,p0_count_points,n_counts_held,holds_3_2,holds_4_1,holds_5_0,holds_5_5,holds_6_4,V_opp0,V_opp1,V_opp2,V_mean,V_std,V_spread,V_min,V_max
101,1,25,3,True,False,False,True,True,-6,30.0,30.0,18.0,16.97056274847714,36,-6,30
102,2,15,2,False,False,True,True,False,30,26.0,42.0,32.666666666666664,6.79869268479038,16,26,42
103,3,5,1,True,False,False,False,False,20,42.0,42.0,34.666666666666664,10.370899457402697,22,20,42
104,4,15,2,True,False,False,False,True,18,42.0,6.0,22.0,14.966629547095765,36,6,42
105,5,15,2,True,False,False,True,False,14,14.0,26.0,18.0,5.656854249492381,12,14,26
106,6,20,2,False,False,False,True,True,36,-42.0,18.0,4.0,33.34666400106613,78,-42,36
107,7,10,1,False,False,False,True,False,30,38.0,42.0,36.666666666666664,4.988876515698588,12,30,42
108,8,0,0,False,False,False,False,False,28,42.0,18.0,29.333333333333332,9.843215373488935,24,18,42
109,9,5,1,False,True,False,False,False,42,42.0,-10.0,24.666666666666668,24.51303508113365,52,-10,42
110,0,0,0,False,False,False,False,False,18,26.0,18.0,20.666666666666668,3.7712361663282534,8,18,26
111,1,5,1,True,False,False,False,False,-4,42.0,42.0,26.666666666666668,21.684607956387456,46,-4,42
112,2,15,2,True,False,False,True,False,40,28.0,42.0,36.666666666666664,6.182412330330469,14,28,42
113,3,0,0,False,False,False,False,False,-4,8.0,30.0,11.333333333333334,14.079141387961917,34,-4,30
114,4,10,1,False,False,False,False,True,28,42.0,4.0,24.666666666666668,15.69146972791976,38,4,42
115,5,10,1,False,False,False,True,False,42,18.0,42.0,34.0,11.313708498984761,24,18,42
116,6,20,3,True,True,False,False,True,-14,14.0,38.0,12.666666666666666,21.24983660067897,52,-14,38
117,7,20,3,True,False,True,True,False,30,26.0,28.0,28.0,1.632993161855452,4,26,30
118,8,0,0,False,False,False,False,False,-40,-40.0,2.0,-26.0,19.79898987322333,42,-40,2
119,9,10,2,False,True,True,False,False,-30,38.0,28.0,12.0,29.97776954122282,68,-30,38
120,0,5,1,False,False,True,False,False,42,42.0,40.0,41.333333333333336,0.9428090415820634,2,40,42
121,1,10,2,True,False,True,False,False,8,-4.0,-6.0,-0.6666666666666666,6.182412330330469,14,-6,8
122,2,0,0,False,False,False,False,False,18,-16.0,42.0,14.666666666666666,23.79542439676633,58,-16,42
123,3,15,2,False,True,False,True,False,40,6.0,42.0,29.333333333333332,16.519348924485154,36,6,42
124,4,10,1,False,False,False,True,False,-6,-42.0,-40.0,-29.333333333333332,16.519348924485154,36,-42,-6
125,5,10,1,False,False,False,True,False,30,38.0,40.0,36.0,4.320493798938574,10,30,40
126,6,5,1,False,True,False,False,False,-18,4.0,16.0,0.6666666666666666,14.079141387961918,34,-18,16
127,7,5,1,False,True,False,False,False,-28,-42.0,26.0,-14.666666666666666,29.31817790306136,68,-42,26
128,8,0,0,False,False,False,False,False,-12,-8.0,-4.0,-8.0,3.265986323710904,8,-12,-4
129,9,5,1,False,True,False,False,False,20,-2.0,30.0,16.0,13.366625103842281,32,-2,30
130,0,5,1,False,False,True,False,False,6,40.0,42.0,29.333333333333332,16.519348924485154,36,6,42
