base_seed,decl_id,trump_suit,V_mean,V_std,V_min,V_max,max_suit_length,n_doubles,trump_count,n_6_high,n_5_high,n_4_high,count_points,n_count_dominoes,total_pips,has_trump_double,pip_0_count,pip_1_count,pip_2_count,pip_3_count,pip_4_count,pip_5_count,pip_6_count
138,8,8,29.333333333333332,9.285592184789413,20.0,42.0,4,2,0,4,1,0,0,0,43,0,2,1,2,1,0,2,4
139,9,9,15.333333333333334,22.939534045447004,-14.0,42.0,3,1,0,1,2,1,5,1,36,0,3,1,2,3,1,2,1
140,0,0,26.666666666666668,20.28683207293725,-2.0,42.0,3,3,3,2,1,3,5,1,46,0,3,0,1,1,3,1,2
141,1,1,16.666666666666668,19.618585292749547,-8.0,40.0,3,2,2,2,1,3,15,2,49,0,1,2,2,1,3,1,2
142,2,2,4.666666666666667,17.98765008430939,-10.0,30.0,3,1,0,1,1,3,0,0,43,0,2,2,0,3,3,2,1
143,3,3,17.333333333333332,10.624918300339486,4.0,30.0,3,1,1,2,1,2,20,3,44,0,2,2,2,1,3,1,2
144,4,4,5.333333333333333,8.219218670625303,-4.0,16.0,3,2,3,2,2,2,15,2,47,0,2,2,0,1,3,2,2
145,5,5,1.3333333333333333,29.044027881055953,-30.0,40.0,3,0,3,1,3,1,0,0,40,0,3,1,2,2,2,3,1
146,6,6,18.0,14.966629547095765,2.0,38.0,3,2,1,1,3,0,15,2,37,0,3,1,2,2,0,3,1
147,7,7,11.333333333333334,13.097921802925667,-4.0,28.0,3,2,0,3,1,0,10,1,40,0,1,3,0,3,1,1,3
148,8,8,0.0,10.198039027185569,-14.0,10.0,3,2,0,3,1,1,0,0,46,0,1,2,1,2,1,2,3
149,9,9,42.0,0.0,42.0,42.0,5,2,0,1,1,3,10,1,47,0,2,0,0,3,5,1,1
150,0,0,29.333333333333332,9.843215373488935,18.0,42.0,3,1,3,1,2,1,5,1,39,0,3,1,2,2,2,2,1
151,1,1,14.666666666666666,15.173075568988056,-6.0,30.0,3,1,1,0,3,2,5,1,37,0,2,1,3,1,3,3,0
152,2,2,15.333333333333334,37.712361663282536,-38.0,42.0,2,2,2,2,2,1,10,2,43,1,2,2,2,1,1,2,2
153,3,3,14.0,35.364765892999586,-36.0,40.0,3,2,1,3,0,1,15,2,44,0,2,2,1,1,2,1,3
154,4,4,8.666666666666666,4.109609335312651,4.0,14.0,4,3,0,1,1,0,10,1,29,0,2,4,3,0,0,1,1
155,5,5,13.333333333333334,20.677416559027762,-6.0,42.0,3,2,2,1,1,2,0,0,45,0,0,2,3,1,3,2,1
156,6,6,1.3333333333333333,32.71425105702746,-40.0,40.0,3,2,1,1,3,0,15,2,47,1,2,1,2,2,1,3,1
157,7,7,19.333333333333332,18.785337071473826,-4.0,42.0,4,2,0,2,3,2,0,0,59,0,0,1,1,2,2,4,2
158,8,8,28.0,10.708252269472673,14.0,40.0,3,2,0,2,2,1,5,1,48,0,1,2,2,1,1,3,2
159,9,9,28.666666666666668,17.46106780494506,4.0,42.0,4,2,0,0,2,2,10,2,40,0,0,2,2,4,2,2,0
160,0,0,4.666666666666667,9.843215373488935,-8.0,16.0,4,3,1,2,1,0,15,2,42,0,1,2,1,4,0,1,2
161,1,1,4.666666666666667,10.624918300339486,-8.0,18.0,3,1,2,2,0,1,5,1,36,1,2,2,3,2,1,1,2
162,2,2,37.333333333333336,5.2493385826745405,30.0,42.0,4,0,4,2,1,2,15,2,42,0,1,2,4,1,3,1,2
163,3,3,27.333333333333332,10.370899457402697,20.0,42.0,4,0,4,2,0,2,5,1,38,0,2,2,2,4,2,0,2
164,4,4,-20.666666666666668,5.2493385826745405,-28.0,-16.0,4,0,2,2,1,2,5,1,38,0,2,4,0,3,2,1,2
165,5,5,10.666666666666666,4.988876515698588,4.0,16.0,3,2,1,1,1,2,20,3,39,1,2,2,3,1,2,1,1
166,6,6,3.3333333333333335,4.109609335312651,-2.0,8.0,4,1,3,3,1,1,5,1,46,1,1,2,4,1,1,1,3
167,7,7,26.666666666666668,9.568466729604882,18.0,40.0,3,3,0,1,2,0,15,2,42,0,1,1,3,3,0,2,1
168,8,8,-5.333333333333333,9.843215373488935,-18.0,6.0,3,2,0,2,0,1,5,1,30,0,2,3,2,2,1,0,2
169,9,9,35.333333333333336,5.734883511361751,28.0,42.0,3,2,0,1,2,3,10,1,48,0,1,1,2,2,3,2,1
