base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,util_lambda_0,util_lambda_05,util_lambda_1,util_lambda_2,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips,rank_0,rank_05,rank_1,rank_2,rank_change_0_to_1
105,5,6-3 6-2 5-5 4-4 3-2 3-1 2-1,18.0,5.656854249492381,14.0,26.0,12.0,18.0,15.17157287525381,12.34314575050762,6.686291501015239,2,15,1,True,2,47,82.0,71.0,58.0,49.0,24.0
30,0,6-5 6-0 5-0 4-3 4-1 4-0 2-2,28.666666666666668,17.46106780494506,4.0,42.0,38.0,28.666666666666668,19.936132764194138,11.205598861721608,-6.255468943223452,1,10,3,False,2,42,46.0,54.5,59.5,75.5,-13.5
159,9,5-3 5-2 4-3 4-1 3-3 3-2 1-1,28.666666666666668,17.46106780494506,4.0,42.0,38.0,28.666666666666668,19.936132764194138,11.205598861721608,-6.255468943223452,2,10,0,False,0,40,46.0,54.5,59.5,75.5,-13.5
33,3,6-6 6-2 4-4 4-1 2-0 1-1 0-0,24.0,12.96148139681572,12.0,42.0,30.0,24.0,17.51925930159214,11.03851860318428,-1.9229627936314415,4,5,0,False,2,37,63.5,61.0,61.0,64.0,2.5
180,0,6-1 5-2 5-0 4-1 3-3 3-0 2-2,24.0,13.063945294843617,8.0,40.0,32.0,24.0,17.46802735257819,10.936054705156383,-2.127890589687233,2,10,2,False,1,37,63.5,62.0,62.0,65.0,1.5
89,9,6-4 6-2 5-3 5-1 4-4 4-2 2-0,27.333333333333332,16.67999467092907,4.0,42.0,38.0,27.333333333333332,18.993335997868797,10.653338662404263,-6.026656008524807,1,10,0,False,2,48,51.5,57.0,63.0,74.0,-11.5
114,4,6-5 6-4 6-3 4-2 3-0 1-1 0-0,24.666666666666668,15.69146972791976,4.0,42.0,38.0,24.666666666666668,16.820931802706788,8.975196938746908,-6.7162727891728515,2,10,2,False,3,41,60.5,63.0,64.0,78.0,-3.5
19,9,6-2 5-5 5-2 5-0 3-1 1-1 0-0,22.0,13.366625103842281,8.0,40.0,32.0,22.0,15.31668744807886,8.633374896157719,-4.733250207684563,3,15,0,False,1,36,70.0,69.0,65.0,72.0,5.0
182,2,6-3 6-2 6-1 6-0 4-2 3-0 2-1,24.0,15.57776192739723,4.0,42.0,38.0,24.0,16.211119036301383,8.42223807260277,-7.15552385479446,0,0,3,False,4,42,63.5,65.0,66.0,80.0,-2.5
195,5,5-3 5-0 4-1 3-1 2-2 2-1 0-0,18.666666666666668,10.498677165349081,4.0,28.0,24.0,18.666666666666668,13.417328083992128,8.167989501317587,-2.330687664031494,2,10,2,False,0,29,78.5,74.0,67.0,66.0,11.5
100,0,6-4 6-0 5-4 5-0 3-2 3-0 1-0,22.666666666666668,14.817407180595247,6.0,42.0,36.0,22.666666666666668,15.257963076369045,7.849259486071421,-6.968147694523825,0,20,4,False,2,39,68.0,70.0,68.0,79.0,0.0
104,4,6-5 6-4 6-1 4-3 3-3 3-2 1-1,22.0,14.966629547095765,6.0,42.0,36.0,22.0,14.516685226452118,7.033370452904235,-7.933259094191531,2,15,2,False,3,48,70.0,73.0,69.0,81.0,1.0
143,3,6-6 6-4 5-1 4-1 4-0 3-2 2-0,17.333333333333332,10.624918300339486,4.0,30.0,26.0,17.333333333333332,12.020874183163588,6.708415032993846,-3.9165032673456395,1,20,1,False,2,44,86.0,76.0,70.0,70.0,16.0
140,0,6-6 6-0 5-0 4-4 4-3 4-0 2-2,26.666666666666668,20.28683207293725,-2.0,42.0,44.0,26.666666666666668,16.523250630198042,6.3798345937294165,-13.906997479207835,3,5,3,False,2,46,55.5,64.0,71.0,93.0,-15.5
165,5,6-0 5-5 4-4 4-1 3-2 2-1 2-0,10.666666666666666,4.988876515698588,4.0,16.0,12.0,10.666666666666666,8.172228408817372,5.677790150968078,0.6889136352694898,2,20,1,True,1,39,118.0,89.0,72.0,57.0,46.0
79,9,6-5 6-2 5-1 4-0 3-3 3-2 2-0,10.666666666666666,5.2493385826745405,6.0,18.0,12.0,10.666666666666666,8.041997375329396,5.417328083992126,0.16798950131758517,1,5,0,False,2,42,118.0,91.0,73.0,59.0,45.0
29,9,6-2 6-1 6-0 5-5 3-2 3-0 2-1,11.333333333333334,6.182412330330469,6.0,20.0,14.0,11.333333333333334,8.2421271681681,5.150921003002865,-1.031491327327604,1,15,0,False,3,42,112.0,88.0,74.0,61.0,38.0
191,1,5-4 4-4 4-1 4-0 3-3 3-2 1-1,26.666666666666668,21.684607956387456,-4.0,42.0,46.0,26.666666666666668,15.82436268847294,4.982058710279212,-16.702549246108244,3,10,2,True,0,39,55.5,67.0,76.0,104.0,-20.5
49,9,6-6 6-5 6-0 5-0 4-2 3-1 0-0,26.666666666666668,21.684607956387456,-4.0,42.0,46.0,26.666666666666668,15.82436268847294,4.982058710279212,-16.702549246108244,2,5,0,False,3,44,55.5,67.0,76.0,104.0,-20.5
111,1,5-2 4-4 3-3 3-2 1-1 1-0 0-0,26.666666666666668,21.684607956387456,-4.0,42.0,46.0,26.666666666666668,15.82436268847294,4.982058710279212,-16.702549246108244,4,5,2,True,0,29,55.5,67.0,76.0,104.0,-20.5
47,7,6-5 6-3 6-2 3-3 3-0 2-2 2-0,25.333333333333332,20.741798914805393,-4.0,40.0,44.0,25.333333333333332,14.962433875930635,4.591534418527939,-16.150264496277455,2,0,0,False,3,43,59.0,72.0,78.0,101.0,-19.0
154,4,6-1 5-5 2-2 2-1 2-0 1-1 1-0,8.666666666666666,4.109609335312651,4.0,14.0,10.0,8.666666666666666,6.61186199901034,4.557057331354015,0.44744799604136354,3,10,0,False,1,29,128.0,97.0,79.0,58.0,49.0
14,4,6-5 6-4 5-2 5-0 4-3 4-1 0-0,6.666666666666667,2.494438257849294,4.0,10.0,6.0,6.666666666666667,5.41944753774202,4.172228408817373,1.6777901509680788,1,20,3,False,2,45,137.0,101.0,80.0,54.0,57.0
93,3,6-0 5-5 5-4 5-1 4-3 4-0 3-1,8.0,4.320493798938574,4.0,14.0,10.0,8.0,5.839753100530713,3.679506201061426,-0.6409875978771478,1,10,2,False,1,46,132.0,99.0,81.0,60.0,51.0
46,6,6-1 4-4 4-3 3-3 3-2 3-0 2-0,8.666666666666666,5.2493385826745405,4.0,16.0,12.0,8.666666666666666,6.041997375329396,3.4173280839921256,-1.8320104986824148,2,5,1,False,1,38,128.0,98.0,82.0,63.0,46.0
76,6,6-6 6-4 6-3 5-2 5-1 4-0 1-1,16.666666666666668,13.299958228840003,-2.0,28.0,30.0,16.666666666666668,10.016687552246665,3.3667084378266647,-9.933249791013338,2,10,3,True,3,50,89.5,81.0,83.0,85.0,6.5
146,6,6-3 5-5 5-2 5-0 3-1 2-0 0-0,18.0,14.966629547095765,2.0,38.0,36.0,18.0,10.516685226452118,3.0333704529042347,-11.93325909419153,2,15,1,False,1,37,82.0,79.0,84.0,89.0,-2.0
129,9,6-3 6-2 4-3 4-1 3-0 2-2 0-0,16.0,13.366625103842281,-2.0,30.0,32.0,16.0,9.31668744807886,2.6333748961577186,-10.733250207684563,2,5,0,False,2,36,92.5,86.0,85.0,86.0,7.5
60,0,6-5 6-4 6-1 6-0 5-1 4-2 4-1,18.0,15.57776192739723,6.0,40.0,34.0,18.0,10.211119036301385,2.42223807260277,-13.15552385479446,0,15,1,False,4,51,82.0,80.0,86.0,92.0,-4.0
18,8,6-4 6-2 6-1 5-1 4-2 4-1 0-0,11.333333333333334,8.993825042154695,4.0,24.0,20.0,11.333333333333334,6.836420812255986,2.339508291178639,-6.654316750976056,1,15,0,False,3,42,112.0,96.0,87.0,77.0,25.0
