base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips,cluster,cluster_3,cluster_name
103,3,6-3 5-3 5-2 4-3 3-2 2-2 2-1,34.666666666666664,10.370899457402697,20.0,42.0,22.0,1,True,0,"Big Win,Big Win,Big Win",1,5,4,False,1,43,3,1,STRONG
104,4,6-5 6-4 6-1 4-3 3-3 3-2 1-1,22.0,14.966629547095764,6.0,42.0,36.0,2,False,1,"Win,Big Win,Win",2,15,2,False,3,48,2,2,VOLATILE
105,5,6-3 6-2 5-5 4-4 3-2 3-1 2-1,18.0,5.656854249492381,14.0,26.0,12.0,2,False,1,"Win,Win,Big Win",2,15,1,True,2,47,0,2,VOLATILE
106,6,6-4 6-0 5-5 5-4 5-3 4-2 2-2,4.0,33.34666400106613,-42.0,36.0,78.0,3,False,4,"Big Win,Big Loss,Win",2,20,2,False,2,53,1,0,WEAK
107,7,6-6 5-5 5-2 4-2 3-0 1-1 1-0,36.66666666666666,4.988876515698588,30.0,42.0,12.0,1,True,0,"Big Win,Big Win,Big Win",3,10,0,False,1,41,3,1,STRONG
108,8,6-6 6-5 6-3 5-4 5-3 3-1 0-0,29.33333333333333,9.843215373488936,18.0,42.0,24.0,2,False,1,"Big Win,Big Win,Win",2,0,0,False,3,53,2,2,VOLATILE
109,9,6-3 6-2 6-1 4-3 4-1 2-2 0-0,24.666666666666668,24.51303508113365,-10.0,42.0,52.0,2,False,3,"Big Win,Big Win,Loss",2,5,0,False,3,40,6,2,VOLATILE
110,0,6-1 4-4 3-3 3-0 2-2 2-1 2-0,20.666666666666668,3.771236166328253,18.0,26.0,8.0,2,False,1,"Win,Big Win,Win",3,0,2,False,1,33,0,2,VOLATILE
111,1,5-2 4-4 3-3 3-2 1-1 1-0 0-0,26.666666666666668,21.684607956387456,-4.0,42.0,46.0,2,False,2,"Draw,Big Win,Big Win",4,5,2,True,0,29,2,2,VOLATILE
112,2,6-6 6-3 5-5 4-2 3-2 1-1 1-0,36.66666666666666,6.182412330330469,28.0,42.0,14.0,1,True,0,"Big Win,Big Win,Big Win",3,15,2,False,2,45,3,1,STRONG
