base_seed,decl_id,first_divergence_depth,early_game_rate,mid_game_rate,late_game_rate
186,6,27,0.0625,0.24669215534844985,0.5444567795740781
187,7,28,0.0,0.13236754522820565,0.4755945818088363
188,8,27,0.0,0.16804524917932445,0.4589327231971847
189,9,28,0.0,0.25768357218635396,0.5495237321318439
190,0,28,0.0,0.12064292492424904,0.3832950488643044
191,1,28,0.0,0.22581854446788535,0.5075452043106969
192,2,28,0.3666666666666667,0.18058426128547697,0.4511109117224749
193,3,28,0.0,0.27314094589364674,0.3837824755396798
194,4,27,0.3333333333333333,0.2325117516580753,0.4574361609913845
195,5,27,0.4,0.10109100358033755,0.4211695707348211
196,6,27,0.0,0.20439963315040108,0.47713871367270394
