base_seed,decl_id,n_common_states,n_moves,n_robust,n_fragile,n_mixed,pct_robust,pct_fragile,mean_q_std,n_best_everywhere,best_robust,best_fragile,pct_best_robust,robust_by_depth
55,5,11282,13826,3567,709,9550,25.79921886301172,5.128019673079705,5.205599247055452,8028,2296,298,28.599900348779272,0.31440350460818567
56,6,9474,11266,1609,2348,7309,14.281910172199538,20.8414699094621,7.10363568405133,7396,1104,1433,14.926987560843699,0.2240827555426402
57,7,12833,20923,5492,2626,12805,26.248625914065858,12.55078143669646,5.803316433503058,12510,3352,1871,26.79456434852118,0.33310031919928434
58,8,9389,9096,1650,1977,5469,18.139841688654354,21.734828496042216,7.079018069059642,6820,1264,1503,18.533724340175954,0.24635848864292698
59,9,9183,10761,1690,1929,7142,15.704860143109375,17.925843323111234,6.805893397874506,8829,1460,1584,16.536414089930908,0.213623922655069
60,0,2902,3645,153,2298,1194,4.197530864197531,63.04526748971193,12.376000434937142,2942,121,1846,4.112848402447314,0.12824331642952094
61,1,5394,4638,620,1234,2784,13.367830961621388,26.606295817162568,8.005821724401063,2985,437,726,14.639865996649917,0.22735017323122989
62,2,4448,6669,2606,18,4045,39.0763232868496,0.2699055330634278,3.9660760172126874,6403,2521,9,39.372169295642664,0.35530074958041535
63,3,6231,6940,1124,1953,3863,16.195965417867438,28.14121037463977,7.951090977173525,4013,777,1008,19.36207326189883,0.25735432149517445
64,4,1862,2218,546,251,1421,24.61677186654644,11.316501352569883,5.73867408788774,1544,389,176,25.194300518134717,0.3470535992568183
65,5,6119,8484,6274,45,2165,73.95096652522395,0.5304101838755304,2.603192439873963,5643,4685,1,83.02321460216197,0.8315535883785233
66,6,10538,9070,1950,1994,5126,21.499448732083792,21.984564498346195,7.0262078158733585,5544,1389,905,25.054112554112557,0.28701994601572156
67,7,214,175,38,6,131,21.714285714285715,3.428571428571429,5.30733220260456,145,37,4,25.517241379310345,0.40028490028490027
68,8,2102,2313,622,378,1313,26.891482922611328,16.342412451361866,6.116499378508436,1959,552,327,28.177641653905056,0.4163670023680391
69,9,6050,6911,2583,1382,2946,37.37519895818261,19.997106062798437,5.817192409478622,5490,2230,864,40.619307832422585,0.4114174376010345
70,0,1901,1917,389,550,978,20.29212310902452,28.690662493479397,7.659652666859943,1146,241,286,21.029668411867362,0.32196051256716945
71,1,10531,12841,1638,4312,6891,12.756015886613191,33.5799392570672,8.533781865675287,8076,1093,2692,13.53392768697375,0.2172522336232966
72,2,5779,7192,1145,1777,4270,15.920467185761957,24.708008898776416,7.337701576239522,4891,767,1193,15.681864649355958,0.20020847023427574
73,3,9004,11369,2211,3031,6127,19.447620723018737,26.660216377869645,7.5709246462261595,7494,1261,2075,16.826794769148652,0.22503538236808632
74,4,5080,6257,1524,512,4221,24.356720473070162,8.182835224548505,5.571560423187419,4186,1048,314,25.03583373148591,0.3736978997200604
75,5,5982,5680,1227,513,3940,21.602112676056336,9.03169014084507,5.8019307784534275,3004,807,142,26.864181091877498,0.35658822212703656
76,6,6193,8551,2800,858,4893,32.74470822126067,10.033914162086306,5.317188827218392,5172,1941,239,37.52900232018562,0.35413715805256846
77,7,1579,2027,931,9,1087,45.92994573260977,0.4440059200789344,3.8196991067175814,2006,925,9,46.11166500498505,0.6293178732203123
78,8,2929,2756,791,545,1420,28.70101596516691,19.775036284470247,6.28720484947792,1866,591,295,31.672025723472668,0.2930884473040242
79,9,11301,14937,3134,3634,8169,20.981455446207402,24.328847827542344,7.166596967916783,11336,2432,2734,21.45377558221595,0.2731217633493822
80,0,5218,5053,1425,538,3090,28.201068672075998,10.647140312685535,5.3853665509417725,3518,1036,406,29.448550312677657,0.37429854820420694
81,1,3541,4897,799,808,3290,16.316111905248114,16.49989789667143,6.611844016404613,3085,563,465,18.249594813614262,0.28673441695070584
82,2,5611,7682,1497,637,5548,19.487112731059618,8.292111429315282,5.779930580589297,5826,1159,439,19.89358050120151,0.1886183869588063
83,3,5895,9220,1600,1831,5789,17.35357917570499,19.859002169197396,6.838748822872343,6316,1143,1306,18.096896770107662,0.25656954923082737
