base_seed,decl_id,V_mean,total_locked,total_lock_rate,lock_rate_3-2,locked_3-2,lock_rate_4-1,locked_4-1,lock_rate_5-0,locked_5-0,lock_rate_5-5,locked_5-5,lock_rate_6-4,locked_6-4,n_doubles,trump_count,n_6_high,n_5_high,count_points,n_count_dominoes,total_pips,has_trump_double,max_suit_length,suit_5_length,suit_6_length,suit_4_length,suit_3_length,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
69,9,40.0,2,0.5333333333333333,0.6666666666666666,0,0.0,0,0.0,0,1.0,1,1.0,1,3,0,2,1,20,2,46,0,2,2,2,2,1,0,0,0,1,1
70,0,-4.666666666666667,0,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0,0.0,0,0.6666666666666666,0,0.0,0,3,1,1,3,15,2,41,1,4,4,1,1,0,0,1,0,1,0
71,1,9.333333333333334,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.0,0,1,1,1,2,5,1,40,0,3,2,1,2,2,0,0,1,0,0
72,2,16.666666666666668,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,1,2,2,0,5,1,42,0,3,0,2,3,3,1,0,0,0,0
73,3,1.3333333333333333,0,0.39999999999999997,0.0,0,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,2,1,3,2,15,2,60,0,3,3,3,3,1,0,1,0,1,0
74,4,-29.333333333333332,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,3,2,0,0,47,0,3,3,3,1,1,0,0,0,0,0
75,5,18.0,1,0.4,0.6666666666666666,0,0.3333333333333333,0,0.0,0,1.0,1,0.0,0,2,2,3,1,10,1,45,1,3,2,3,1,1,0,0,0,1,0
76,6,16.666666666666668,0,0.4666666666666666,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,2,3,3,2,10,1,50,1,3,2,3,2,1,0,0,0,0,1
77,7,36.0,2,0.6,0.6666666666666666,0,1.0,1,0.3333333333333333,0,1.0,1,0.0,0,4,0,1,1,15,2,46,0,3,1,1,3,0,0,1,0,1,0
78,8,6.666666666666667,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.6666666666666666,0,0.3333333333333333,0,2,0,1,3,10,1,49,0,3,3,1,3,1,0,0,0,1,0
79,9,10.666666666666666,1,0.39999999999999997,1.0,1,0.6666666666666666,0,0.0,0,0.3333333333333333,0,0.0,0,1,0,2,1,5,1,42,0,3,2,2,1,2,1,0,0,0,0
80,0,39.333333333333336,1,0.4666666666666667,0.3333333333333333,0,0.0,0,1.0,1,0.6666666666666666,0,0.3333333333333333,0,2,2,0,3,5,1,35,0,3,3,0,1,1,0,0,1,0,0
81,1,13.333333333333334,0,0.5333333333333333,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,2,2,1,1,15,2,38,0,5,1,1,0,5,1,0,0,1,0
82,2,33.333333333333336,1,0.5333333333333333,0.6666666666666666,0,1.0,1,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,2,3,1,1,5,1,37,0,3,1,1,3,1,0,1,0,0,0
83,3,-14.666666666666666,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,0,1,3,1,5,1,44,0,3,2,3,2,1,0,1,0,0,0
84,4,22.0,2,0.6,0.6666666666666666,0,0.3333333333333333,0,0.0,0,1.0,1,1.0,1,2,2,3,1,20,2,49,0,3,2,3,2,1,0,0,0,1,1
85,5,-10.0,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,3,0,1,0,5,1,30,0,3,0,1,1,3,1,0,0,0,0
86,6,0.6666666666666666,0,0.4666666666666666,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,1,1,1,1,10,2,36,0,3,1,1,2,2,1,1,0,0,0
87,7,3.3333333333333335,0,0.3333333333333333,0.3333333333333333,0,0.0,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,4,0,0,2,5,1,40,0,3,2,0,2,3,0,0,1,0,0
88,8,2.6666666666666665,2,0.6,1.0,1,0.3333333333333333,0,1.0,1,0.3333333333333333,0,0.3333333333333333,0,0,0,1,4,10,2,43,0,4,4,1,1,2,1,0,1,0,0
89,9,27.333333333333332,1,0.4666666666666666,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,1.0,1,1,0,2,2,10,1,48,0,3,2,2,3,1,0,0,0,0,1
90,0,-20.666666666666668,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,1,2,0,0,40,0,4,2,1,3,1,0,0,0,0,0
91,1,20.666666666666668,0,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,0,0.0,0,0.3333333333333333,0,0.0,0,2,3,2,1,5,1,41,0,3,1,2,2,1,0,1,0,0,0
92,2,-8.666666666666666,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,1,1,1,1,15,2,32,0,4,1,1,1,2,0,1,0,1,0
93,3,8.0,1,0.4666666666666667,0.6666666666666666,0,0.3333333333333333,0,0.0,0,1.0,1,0.3333333333333333,0,1,2,1,3,10,1,46,0,3,3,1,3,2,0,0,0,1,0
