base_seed,v_mean_d28,v_std_d28,v_spread_d28,v_mean_d24,v_std_d24,v_spread_d24,v_mean_d20,v_std_d20,v_spread_d20,v_mean_d16,v_std_d16,v_spread_d16,v_mean_d12,v_std_d12,v_spread_d12,v_mean_d8,v_std_d8,v_spread_d8,v_mean_d4,v_std_d4,v_spread_d4,v_mean_d1,v_std_d1,v_spread_d1
20,16.0,0.0,58.0,-1.2974207083796123,13.263648519515058,40.28582006664198,-0.3743224789070485,10.62995541464556,39.22157559388232,2.0460787913210727,10.002752285187782,35.77975588348984,2.1433770417177254,9.61614584237803,28.18301381539478,1.6864499826960817,8.589009180421755,20.282042199827366,0.9601097477914721,7.227477155617913,8.75058068877372,0.9601097477914721,7.227477155617913,8.75058068877372
21,34.666666666666664,0.0,14.0,10.32875264270613,17.600845029834158,31.80443974630021,8.55108898559241,15.217763485130037,12.923371144382514,4.521234096700854,14.012053219342215,5.4652343051324035,1.9654636578876117,12.229305735534325,4.811957646091065,0.6378357019862952,10.464011565528695,3.836247934146007,0.24443215735580828,7.870320742474011,1.006170093226548,0.24443215735580828,7.870320742474011,1.006170093226548
22,11.333333333333334,0.0,56.0,4.58547619047619,12.6261737908903,41.09571428571429,7.990501833581525,13.777552005022462,30.70611036197281,8.611729860997778,12.871854972303415,21.92660081020617,7.516250243200794,11.431075178549909,13.592140021769723,4.976358543684824,10.169977555722205,7.163983729936309,1.5583067481786061,7.856131957388759,3.368046507927558,1.5583067481786061,7.856131957388759,3.368046507927558
23,10.666666666666666,0.0,80.0,-8.218606833360932,12.158305443841973,46.88383838383838,-12.304680394140556,11.983287874375423,36.223225840773566,-10.358542665192624,11.955664138408133,26.993954716853494,-8.032960285968992,11.205948723823846,18.86618953129303,-5.1606233848952,10.128110115657456,10.211147032693487,-1.8358386297617113,7.812450155201397,2.039721398737037,-1.8358386297617113,7.812450155201397,2.039721398737037
24,15.333333333333334,0.0,62.0,1.8895622895622897,15.190854686807514,41.91111111111111,-0.35982563550215413,12.142488951827886,40.751776770840905,-0.6736197425088403,11.416936845576316,33.15867365748652,-1.619881131910739,10.947361388226028,22.666327275341448,-1.4256456001131959,9.955318989613898,11.876517837362801,-0.2919738199339645,7.420148197809133,3.721735529197767,-0.2919738199339645,7.420148197809134,3.721735529197767
25,4.666666666666667,0.0,68.0,-0.44392131028959714,8.000182461852651,65.32864450127877,-3.4605507692364728,10.459885560402899,52.94978162211302,-4.392830594014046,10.938675312688993,40.493701150112976,-3.97481555475596,10.776765376843166,30.39592571276905,-2.8177634743608286,10.022646070925198,19.103176951387304,-1.4144076436066502,7.641938779352508,7.374883337346686,-1.4144076436066502,7.641938779352508,7.374883337346686
26,1.3333333333333333,0.0,66.0,-4.159351580319323,10.189424453477455,47.68108504398827,-3.482650254238875,13.558731185520514,33.861869864534754,-2.898863772840276,14.220243997083065,24.64982912787665,-2.6974605204907562,13.443694806821547,16.985963347863024,-1.065176248353033,11.577244973752359,8.795698802780151,0.5419511964267872,8.17153979791398,1.6374150584892546,0.5419511964267872,8.17153979791398,1.6374150584892546
27,4.0,0.0,46.0,-2.9612968591691993,12.198204869642131,34.62674772036474,-4.443788492289344,12.994248650454074,30.258632551954516,-4.749006217374192,12.814732237492569,26.43762472966673,-3.200199204699621,11.534005683403288,19.920610607635577,-1.1783303889673682,10.183186397486025,12.288857814221181,0.12048592090175592,7.781866315114772,3.6666640678307085,0.12048592090175592,7.781866315114772,3.6666640678307085
28,21.333333333333332,0.0,46.0,1.4966422466422469,17.46533996616424,19.06959706959707,-2.1204336839148135,18.726220948765135,8.807639855932111,-2.079027976901676,16.39861916664341,11.649332225736094,-0.9739637040019735,13.354523605777592,7.945280692347209,-0.1461021798564683,10.623610217792509,3.1528178853628286,-0.0007144572982512309,7.823208667897792,0.8341488971996811,-0.0007144572982512309,7.823208667897792,0.8341488971996811
29,11.333333333333334,0.0,14.0,-8.966410080967043,15.970762856984132,17.312162162162164,-7.186244981700924,15.788794769081258,3.3701024626159057,-4.587502414726981,14.394969348684143,7.4230039463200015,-2.969677011566475,12.628922898399523,8.220344458604,-1.3402147622974425,10.509982395363295,4.210122640788371,-0.2622817199549192,7.688466528483608,1.0830118352447269,-0.2622817199549192,7.688466528483608,1.0830118352447269
