game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,20,5-5,0,1,left_setter,1000,302,0.302,0.34595537185668945,-5.943385124206543,-6.289340496063232,0.2280000001192093,0.3476821184158325,0.11968211829662323,0.2370000034570694,0.16225165128707886,-0.07474835216999054,21.626251220703125,20.075252532958984,-1.5509986877441406,8.23364520072937,7.859903439879417,0.0
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,9,3-3,0,1,left_setter,1000,330,0.33,0.34595537185668945,-5.933765888214111,-6.279721260070801,0.2280000001192093,0.3060606122016907,0.07806061208248138,0.2370000034570694,0.12727272510528564,-0.10972727835178375,21.626251220703125,18.932647705078125,-2.693603515625,8.157600164413452,7.608963772654533,0.0
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,21,6-0,1,2,bidder_partner,1000,312,0.312,-4.107511043548584,22.055957794189453,26.163468837738037,0.41999998688697815,0.048076923936605453,-0.3719230629503727,0.257999986410141,0.6442307829856873,0.38623079657554626,26.31812858581543,19.433420181274414,-6.884708404541016,33.74500743299723,0.0,31.885392118245363
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,21,6-0,0,1,left_setter,1000,348,0.348,-4.107511043548584,-19.445314407348633,-15.337803363800049,0.41999998688697815,0.6436781883239746,0.22367820143699646,0.257999986410141,0.043103449046611786,-0.2148965373635292,26.31812858581543,17.444293975830078,-8.873834609985352,19.723550751805305,18.64906806498766,0.0
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,21,6-0,2,3,right_setter,1000,306,0.306,-4.107511043548584,-15.694693565368652,-11.587182521820068,0.41999998688697815,0.5751634240150452,0.15516343712806702,0.257999986410141,0.07516340166330338,-0.18283658474683762,26.31812858581543,18.19905662536621,-8.119071960449219,14.967182740569115,14.052999816834927,0.0
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,20,5-5,1,2,bidder_partner,1000,347,0.347,-4.107511043548584,7.245391368865967,11.35290241241455,0.41999998688697815,0.2103746384382248,-0.20962534844875336,0.257999986410141,0.3717579245567322,0.11375793814659119,26.31812858581543,24.086132049560547,-2.231996536254883,14.586735278367996,0.0,13.53860853612423
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,20,5-5,2,3,right_setter,1000,313,0.313,-4.107511043548584,-11.966608047485352,-7.859097003936768,0.41999998688697815,0.5718849897384644,0.1518850028514862,0.257999986410141,0.17571884393692017,-0.08228114247322083,26.31812858581543,24.686315536499023,-1.6318130493164062,10.200758457183838,9.789352744817734,0.0
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,22,6-1,1,2,bidder_partner,1000,338,0.338,-4.107511043548584,-10.94848918914795,-6.840978145599365,0.41999998688697815,0.526627242565155,0.10662725567817688,0.257999986410141,0.15680474042892456,-0.10119524598121643,26.31812858581543,23.653076171875,-2.6650524139404297,8.919203162193298,8.413226932287216,0.0
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,20,5-5,0,1,left_setter,1000,302,0.302,-4.107511043548584,-10.863242149353027,-6.755731105804443,0.41999998688697815,0.5264900922775269,0.1064901053905487,0.257999986410141,0.17880794405937195,-0.07919204235076904,26.31812858581543,24.86235237121582,-1.4557762145996094,8.61255258321762,8.216592371463776,0.0
0,9420,0,blanks,0,0,bidder,offense,4,15,5-0,27,6-6,1,2,bidder_partner,1000,326,0.326,-4.107511043548584,2.166290044784546,6.27380108833313,0.41999998688697815,0.33128833770751953,-0.08871164917945862,0.257999986410141,0.3588957190513611,0.10089573264122009,26.31812858581543,27.253862380981445,0.9357337951660156,8.169874906539917,0.0,7.726316660642624
