game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
2,840702,6,sixes,84,8,2,0,0,bidder,offense,22,0,6-6,5,6-6,21.700767517089844,6-6,0.0,6-6,0.0,1,1,1,False,5,11.78815746307373,25,8.056465148925781,6.728274447843432,8.036933898925781,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|multi_peak_pdf|wide_shelf_gap
2,840702,6,sixes,84,9,2,1,1,left_setter,defense,22,0,6-1,1,6-1,-16.972190856933594,6-1,1.0,6-1,0.57421875,1,1,1,False,1,12.24302864074707,25,10.158001124858856,8.638720273971558,8.741452783346176,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|large_lower_tail|multi_peak_pdf|wide_shelf_gap
2,840702,6,sixes,84,10,2,2,2,bidder_partner,offense,22,0,4-1,5,4-1,3.487639904022217,5-1,0.0,4-1,0.0,1,3,1,True,5,17.27678680419922,50,16.77405419945717,13.42492288351059,16.06617833673954,partner_count_donation,first_trick_public_belief_update|partner_forcedness_and_safety,hidden_threat_large_impact|high_std|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,11,2,3,3,right_setter,defense,22,0,1-1,5,1-1,-16.7448787689209,2-2,1.0,1-1,0.64453125,1,4,1,True,5,15.907607078552246,43,19.624355047941208,10.407078266143799,17.51332376897335,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,12,3,0,0,bidder,offense,28,0,4-3,4,4-3,18.322006225585938,6-3,0.0,6-3,0.0,1,4,4,True,4,1.0878407955169678,3,1.4815921783447266,0.8167076110839844,1.4815921783447266,called_suit_pressure,first_trick_public_belief_update,high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission
2,840702,6,sixes,84,13,3,1,1,left_setter,defense,28,0,5-4,2,5-4,-7.70505428314209,4-4,1.0,5-4,0.0,1,2,1,True,2,12.753443717956543,35,10.877776861190796,8.770293235778809,10.877776861190796,,first_trick_public_belief_update,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,14,3,2,2,bidder_partner,offense,28,0,4-0,2,4-0,-8.14256477355957,4-2,0.0,4-2,0.38671875,1,2,2,True,2,14.084100723266602,38,14.270822882652283,14.270822882652283,11.644543051719666,,first_trick_public_belief_update,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,15,3,3,3,right_setter,defense,28,0,2-1,4,2-0,-2.462345600128174,2-2,1.0,2-2,0.0,2,2,2,True,4,15.090544700622559,38,14.91460108757019,8.077648878097534,14.91460108757019,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_std|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,16,4,0,1,left_setter,defense,28,1,4-4,3,4-4,-12.070914268493652,4-4,1.0,4-4,0.21484375,1,1,1,False,3,9.431231498718262,23,8.21695613861084,8.163333058357239,7.501036614179611,late_hand|setter_lead_pressure,defender_damage_lead_class|first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|wide_shelf_gap
2,840702,6,sixes,84,17,4,1,2,bidder_partner,offense,28,1,4-2,1,4-2,2.6190872192382812,4-2,0.0,4-2,0.2890625,1,1,1,False,1,16.546934127807617,38,22.84616994857788,22.84616994857788,13.199667930603027,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
