game_id,game_idx,trump_id,trump_name,move_idx,player,active_player,team,global_domino_idx,domino,mean,std,threshold_mass,make_mass,set_mass,lower_tail_mass,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,converged,high_variance_close_mean,scalar_ev_lying_by_omission
sample_001_decl_1,1,1,ones,3,3,3,defense,22,4-1,-27.819578170776367,16.2198290750738,0.21800002455711365,,0.21800001338124275,0.781999971717596,-42,-41,-33,-19,-4,22,-42.0,4.9372415551663185,7,-42|-38|-37|-32|-27|-20|-19,23,1000,,False,False
sample_001_decl_1,1,1,ones,3,3,3,defense,24,5-1,-22.276493072509766,19.45569134678205,0.3529999852180481,,0.3530000247992575,0.646999972872436,-42,-41,-27,-9,6,32,-42.0,5.359342759207431,6,-42|-39|-36|-30|-21|-9,33,1000,,True,True
sample_001_decl_1,1,1,ones,4,0,0,offense,0,2-0,-17.561397552490234,25.174054743456853,0.11900001019239426,0.11900000751484185,,0.5949999964796007,-42,-41,-25,-1,23,40,-42.0,5.416629434544358,4,-42|-31|-29|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,4,0,0,offense,1,3-3,-3.439521551132202,26.113832560092792,0.23999999463558197,0.23999999836087227,,0.3339999821037054,-40,-28,-5,16,38,44,-41.75999937579036,6.051061763800061,4,-42|-30|-7|41,83,1000,,False,True
sample_001_decl_1,1,1,ones,4,0,0,offense,2,5-0,-16.0286808013916,27.375454833550254,0.1510000079870224,0.1510000058915466,,0.579000006429851,-42,-42,-25,2,32,44,-42.0,5.25368939711734,2,-42|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,4,0,0,offense,3,6-0,-17.034034729003906,25.877535635874167,0.12800000607967377,0.12800000957213342,,0.575999959371984,-42,-42,-23,-2,26,40,-42.0,5.253269321475776,3,-42|-20|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,4,0,0,offense,5,6-4,-16.573406219482422,26.215796866986395,0.13500000536441803,0.13500000850763172,,0.5540000041946769,-42,-42,-24,2,24,44,-42.0,5.284702111311176,2,-42|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,4,0,0,offense,6,6-5,-16.477741241455078,26.167459982085813,0.1340000033378601,0.13399999658577144,,0.5620000502094626,-42,-42,-23,0,28,42,-42.0,5.255701078333573,3,-42|-12|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,5,1,1,defense,8,3-0,-6.241373062133789,25.98368558353311,0.6320000290870667,,0.6320000466657802,0.3679999967571348,-41,-31,-7,14,29,45,-41.88999979197979,6.050016086087093,4,-42|4|28|41,83,1000,,True,True
sample_001_decl_1,1,1,ones,5,1,1,defense,10,4-3,-7.428725242614746,26.379338635302013,0.5970001220703125,,0.5970000429078937,0.40300000505521894,-41,-34,-9,13,29,47,-41.96999987959862,6.004015289608492,4,-42|-19|29|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,6,2,2,offense,18,3-2,32.09785842895508,15.155295052873383,0.8630000352859497,0.8630000320263207,,0.010000000474974513,10,29,41,42,42,13,-6.2700008624233305,3.9645065560279447,4,20|29|35|42,22,1000,,False,False
sample_001_decl_1,1,1,ones,7,3,3,defense,25,5-3,-19.10221290588379,22.432056839983836,0.42399999499320984,,0.42400002980139107,0.5759999607689679,-42,-41,-26,-2,16,39,-42.0,5.210373210966884,3,-42|-29|29,71,1000,,True,True
sample_001_decl_1,1,1,ones,7,3,3,defense,27,6-3,-22.027341842651367,20.386532006593455,0.35899999737739563,,0.359000027179718,0.6409999569877982,-42,-42,-28,-7,7,35,-42.0,5.103898351974308,2,-42|-29,13,1000,,False,False
sample_001_decl_1,1,1,ones,8,0,0,offense,0,2-0,-19.437191009521484,24.935293458535458,0.11100000143051147,0.11100000666920096,,0.6279999883845448,-41,-40,-29,-6,20,34,-41.13000001199543,5.265782484395323,4,-41|-38|-14|41,82,1000,,False,False
sample_001_decl_1,1,1,ones,8,0,0,offense,2,5-0,-17.676939010620117,26.279947110243345,0.1510000079870224,0.15100000984966755,,0.5909999879077077,-41,-41,-28,-3,28,38,-41.19000001251697,5.272473454496851,3,-41|-37|41,82,1000,,True,False
sample_001_decl_1,1,1,ones,8,0,0,offense,3,6-0,-18.5357608795166,25.185980587701216,0.11300000548362732,0.11300000781193376,,0.5940000005066395,-41,-41,-26,-6,24,35,-41.11000000871717,5.236540708960769,4,-41|-38|-11|41,82,1000,,False,False
