base_contrast_id,contrast_id,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__decl=twos,decl,twos,6,-9.324443499247232,-18.833264032999676,-1.3759387135505683,9.324443499247232,-0.17333333504696688,0.13583333417773247
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__later_seats_remaining=1,later_seats_remaining,1,14,-13.343665199620384,-20.223733767441338,-8.133392941100258,13.343665199620384,-0.3232142876700631,0.11571429117715784
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__later_seats_remaining=2,later_seats_remaining,2,22,-10.983774973587556,-15.150378730893134,-7.840066125650303,10.983774973587556,-0.14931818030097269,0.15590909055688165
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__seat_role=bidder_partner,seat_role,bidder_partner,40,-12.167790047079325,-16.670610252600163,-8.854715173859152,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__sets_now_label=false,sets_now_label,false,40,-12.167790047079325,-15.607282989826054,-8.856297047622505,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__team=offense,team,offense,40,-12.167790047079325,-15.2124306531623,-9.163203295543791,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__trick_idx=1,trick_idx,1,8,-18.36736772954464,-28.805696591734886,-8.302549967542294,18.36736772954464,-0.3299999972805381,0.17500000458676368
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__trick_idx=2,trick_idx,2,10,-16.054529094696044,-21.210576398372652,-9.591517286300661,16.054529094696044,-0.34049999974668027,0.16950000450015068
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__trick_idx=3,trick_idx,3,7,-8.654639205762319,-13.129149282936538,-5.3445630341768275,8.654639205762319,-0.16785714349576406,0.10142856942755836
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,ch04_unsafe_partner_count_vs_nonunsafe_same_decision__trick_idx=4,trick_idx,4,8,-8.224492885172367,-11.833988798968495,-4.510625005327167,8.224492885172367,-0.12875000201165676,0.14124999567866325
